SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
1742319658791;;SETTLEMENT;205.25;2026-04-14T04:31:12.000-03:00;0.00;2026-04-14T04:31:12.000-03:00;205.25;0.00;;;
1742233936717;;SETTLEMENT;456.97;2026-04-13T01:38:37.000-03:00;0.00;2026-04-13T01:38:37.000-03:00;456.97;0.00;;;
154366019732;available_money;SETTLEMENT;100000.00;2026-04-11T19:35:27.000-03:00;0.00;2026-04-11T19:35:27.000-03:00;100000.00;0.00;;;2026-04-11T19:35:27.000-03:00
154216518394;available_money;SETTLEMENT;-2700.00;2026-04-10T19:31:49.000-03:00;0.00;2026-04-10T19:31:49.000-03:00;-2700.00;0.00;;;2026-04-10T19:31:49.000-03:00
154171367902;bank_transfer;SETTLEMENT;15000.00;2026-04-10T15:07:50.000-03:00;0.00;2026-04-10T15:07:50.000-03:00;15000.00;0.00;;;2026-04-10T15:07:50.000-03:00
1742164079319;;SETTLEMENT;141.06;2026-04-10T00:52:47.000-03:00;0.00;2026-04-10T00:52:47.000-03:00;141.06;0.00;;;
153296628925;available_money;SETTLEMENT;10000.00;2026-04-09T19:16:44.000-03:00;0.00;2026-04-09T19:16:44.000-03:00;10000.00;0.00;;;2026-04-09T19:16:44.000-03:00
154035427220;available_money;SETTLEMENT;-2000.00;2026-04-09T18:38:38.000-03:00;0.00;2026-04-09T18:38:39.000-03:00;-2000.00;0.00;;;2026-04-09T18:38:38.000-03:00
153953491886;bank_transfer;SETTLEMENT;140000.00;2026-04-09T09:26:05.000-03:00;0.00;2026-04-09T09:26:06.000-03:00;140000.00;0.00;;;2026-04-09T09:26:06.000-03:00
1742098835054;;SETTLEMENT;65.18;2026-04-09T01:45:19.000-03:00;0.00;2026-04-09T01:45:19.000-03:00;65.18;0.00;;;
153157120339;available_money;SETTLEMENT;-900.00;2026-04-08T21:27:07.000-03:00;0.00;2026-04-08T21:27:07.000-03:00;-900.00;0.00;;;2026-04-08T21:27:07.000-03:00
153695377854;available_money;SETTLEMENT;-18415.46;2026-04-07T17:10:22.000-03:00;-1480.00;2026-04-08T17:48:25.000-03:00;-23762.71;-3867.25;;;2026-04-08T17:48:25.000-03:00
153069286385;available_money;SETTLEMENT;-22449.00;2026-04-08T12:01:21.000-03:00;0.00;2026-04-08T12:01:21.000-03:00;-22449.00;0.00;;;2026-04-08T12:01:21.000-03:00
153810596902;available_money;SETTLEMENT;-7000.00;2026-04-08T11:47:32.000-03:00;0.00;2026-04-08T11:47:33.000-03:00;-7000.00;0.00;Mercado Pago;Wallet;2026-04-10T10:54:32.000-03:00
1742036412778;;SETTLEMENT;82.23;2026-04-08T03:33:46.000-03:00;0.00;2026-04-08T03:33:46.000-03:00;82.23;0.00;;;
1741964295630;;SETTLEMENT;98.85;2026-04-07T01:57:17.000-03:00;0.00;2026-04-07T01:57:17.000-03:00;98.85;0.00;;;
152832946999;available_money;SETTLEMENT;-3200.00;2026-04-06T21:29:16.000-03:00;0.00;2026-04-06T21:29:17.000-03:00;-3200.00;0.00;;;2026-04-06T21:29:17.000-03:00
153499797802;available_money;SETTLEMENT;-3000.00;2026-04-06T13:01:55.000-03:00;0.00;2026-04-06T13:01:55.000-03:00;-3000.00;0.00;;;2026-04-06T13:01:55.000-03:00
1741900298454;;SETTLEMENT;495.41;2026-04-06T04:27:51.000-03:00;0.00;2026-04-06T04:27:51.000-03:00;495.41;0.00;;;
152060340239;available_money;SETTLEMENT;-18463.52;2026-04-01T07:19:08.000-03:00;-1532.65;2026-04-02T20:07:54.000-03:00;-23873.51;-3877.34;;;2026-04-02T20:07:54.000-03:00
152251928901;available_money;SETTLEMENT;-5000.00;2026-04-02T12:39:15.000-03:00;0.00;2026-04-02T12:39:16.000-03:00;-5000.00;0.00;;;2026-04-02T12:39:16.000-03:00
152986766280;bank_transfer;SETTLEMENT;15000.00;2026-04-02T12:11:02.000-03:00;0.00;2026-04-02T12:11:03.000-03:00;15000.00;0.00;;;2026-04-02T12:11:03.000-03:00
152229111777;available_money;SETTLEMENT;-7000.00;2026-04-02T10:01:12.000-03:00;0.00;2026-04-02T10:01:12.000-03:00;-7000.00;0.00;;;2026-04-02T10:01:12.000-03:00
152827870882;available_money;SETTLEMENT;-2000.00;2026-04-01T11:13:43.000-03:00;0.00;2026-04-01T11:13:44.000-03:00;-2000.00;0.00;;;2026-04-01T11:13:44.000-03:00
1741803911815;;SETTLEMENT;114.84;2026-04-01T02:44:47.000-03:00;0.00;2026-04-01T02:44:47.000-03:00;114.84;0.00;;;
1741735084771;;SETTLEMENT;115.30;2026-03-31T02:11:21.000-03:00;0.00;2026-03-31T02:11:21.000-03:00;115.30;0.00;;;
1741668504894;;SETTLEMENT;360.36;2026-03-30T04:22:53.000-03:00;0.00;2026-03-30T04:22:53.000-03:00;360.36;0.00;;;
152393615954;available_money;SETTLEMENT;-10000.00;2026-03-29T11:00:10.000-03:00;0.00;2026-03-29T11:00:11.000-03:00;-10000.00;0.00;;;2026-03-29T11:00:11.000-03:00
151884898088;available_money;SETTLEMENT;-18632.69;2026-03-25T16:52:38.000-03:00;-1349.63;2026-03-27T16:24:25.000-03:00;-23895.18;-3912.86;;;2026-03-27T16:24:25.000-03:00
1741603558649;;SETTLEMENT;120.88;2026-03-27T03:33:43.000-03:00;0.00;2026-03-27T03:33:43.000-03:00;120.88;0.00;;;
1741539527026;;SETTLEMENT;120.42;2026-03-26T03:15:26.000-03:00;0.00;2026-03-26T03:15:26.000-03:00;120.42;0.00;;;
1741473386438;;SETTLEMENT;667.42;2026-03-25T02:51:55.000-03:00;0.00;2026-03-25T02:51:55.000-03:00;667.42;0.00;;;
1741337015154;;SETTLEMENT;132.83;2026-03-20T02:17:42.000-03:00;0.00;2026-03-20T02:17:42.000-03:00;132.83;0.00;;;
