Metainformación
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

Información del anunciante
Cuenta: 3737870923131996,Alberdi 872,"San Rafael, Mendoza 5600",Argentina

Informe de facturación: 27/4/2026 - 4/5/2026

Pago de Anuncios de Meta
Método de pago: MasterCard ···· 6163
Fecha,Identificador de la transacción,Importe,Divisa
1/5/2026,26940499248974673-26780965408261394,"18 455,00",ARS
28/4/2026,26857920037232599-26871626022528668,"18 455,00",ARS
,Importe total facturado,"36 910,00",ARS

VAT Rate: 0%
"VAT Amount: 0,00"
